,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
148,The November Man,36,46,R,"['Action', 'Mystery&thriller']",['RogerDonaldson'],"['BeauSt.Clair', 'SriramDas']","['Aug 27', '2014']",25.0M
149,Recep Ivedik 4,,47,,['Comedy'],['ToganGökbakar'],"['EmrahCoban', 'SahanGökbakar']",,
150,Sin City: A Dame to Kill For,42,44,R,"['Crime', 'Action', 'Mystery&thriller', 'Drama']","['RobertRodriguez', 'FrankMiller']","['RobertRodriguez', 'AaronKaufman', ""StephenL'Heureux"", 'AlexanderRodyansky', 'MarkC.Manuel']","['Aug 22', '2014']",13.8M
151,The Gambler,,,,"['Sci-fi', 'Action', 'Mystery&thriller']",['TomEmmatty'],,,
152,Samba,61,54,R,"['Drama', 'Comedy']","['EricToledano', 'OlivierNakache']","['NicolasDuval-Adassovsky', 'YannZenou', 'LaurentZeitoun']","['Jul 24', '2015']",149.8K
153,Women Who Flirt,40,48,,['Comedy'],['Ho-CheungPang'],,"['Nov 26', '2014']",141.0K
154,Forbidden Empire 2014 Re-release,,,,,,,,
155,The Best of Me,,0,,,['RoserAguilar'],,,
156,Million Dollar Arm,64,68,PG,['Drama'],['CraigGillespie'],"['MarkCiardi', 'GordonGray', 'JoeRoth']","['May 16', '2014']",36.4M
157,The Water Diviner,62,60,R,"['Drama', 'History', 'War']",['RussellCrowe'],"['AndrewMason', 'KeithRodger', 'TroyLum']","['Apr 24', '2015']",34.6M
158,But Always,14,54,,"['Drama', 'Romance']",['SnowZou'],['YibaiZhang'],"['Sep 5', '2014']",417.6K
159,Devil's Due,18,21,R,['Horror'],"['MattBettinelli-Olpin', 'TylerGillett']",['JohnDavis'],"['Jan 17', '2014']",15.8M
160,A Most Wanted Man,85,65,R,"['Drama', 'Mystery&thriller']",['AntonCorbijn'],"['StephenCornwell', 'GailEgan', 'MalteGrunert', 'SimonCornwell', 'AndreaCalderwood']","['Aug 1', '2014']",17.2M
161,Kundo: Age of the Rampant,82,68,,['Action'],['YoonJong-bin'],['KangHyeon'],,276.8K
162,Doraemon the Movie: The New Records of Nobita's Spaceblazer 2014 Re-release,,,,,,,,
163,When Marnie Was There,91,88,PG,"['Drama', 'Fantasy', 'Anime', 'Kids&family', 'Mystery&thriller']",['HiromasaYonebayashi'],"['YoshiakiNishimura', 'KojiHoshino']","['May 22', '2015']",314.3K
164,Endless Love,16,58,PG-13,"['Drama', 'Romance']",['ShanaFeste'],"['ScottStuber', 'PamelaAbdy', 'JoshSchwartz', 'StephanieSavage']","['Feb 14', '2014']",23.4M
165,Black & White: The Dawn of Justice,,,,,,,,
166,"My Love, Don't Cross That River",77,65,,['Documentary'],['Mo-YoungJin'],,"['Jun 17', '2016']",86.3K
167,Don't Go Breaking My Heart 2,,31,,"['Comedy', 'Romance']",['JohnnieTo'],,,
168,Get on Up,80,68,PG-13,"['Biography', 'Drama']",['TateTaylor'],"['BrianGrazer', 'MickJagger', 'VictoriaPearman', 'EricaHuggins', 'TateTaylor']","['Aug 1', '2014']",30.5M
169,Girls,84,66,PG-13,['Comedy'],['MarkWaters'],['LorneMichaels'],"['Apr 30', '2004']",86.1M
170,The Crossing,,,,,,,,
171,Old Boys: The Way of the Dragon,,44,,['Comedy'],['YangXiao'],,,
172,Tinker Bell and the Legend of the NeverBeast,,,,,,,,
173,The Four 3,,,,,,,,
174,Tazza: The Hidden Card,,72,,"['Drama', 'Crime']",['KangHyeong-cheol'],,,24.1K
175,Mrs. Brown's Boys D'Movie,6,43,,['Comedy'],['BenKellett'],['StephenMcCrum'],,
176,Rise of the Legend,,,,,,,,
177,Winter's Tale,13,43,PG-13,"['Fantasy', 'Romance']",['AkivaGoldsman'],"['AkivaGoldsman', 'MarcPlatt', 'MichaelTadross', 'TonyAllard']","['Feb 14', '2014']",12.6M
178,Wild Tales,94,92,R,"['Comedy', 'Drama']",['DamiánDavidSzifron'],"['HugoSigman', 'PedroAlmodóvar', 'AgustínAlmodóvar', 'EstherGarcía', 'MatíasMosteirín']","['Feb 20', '2015']",3.1M
179,When the Game Stands Tall,20,72,PG,['Drama'],['ThomasCarter'],['DavidZelon'],"['Aug 22', '2014']",30.1M
180,Draft Day,60,65,PG-13,['Drama'],['IvanReitman'],"['IvanReitman', 'AliBell', 'JoeMedjuck']","['Apr 11', '2014']",28.8M
181,Big Eyes,72,68,PG-13,"['Drama', 'Biography']",['TimBurton'],"['TimBurton', 'LynetteHowellTaylor', 'ScottAlexander', 'LarryKaraszewski']","['Dec 25', '2014']",14.5M
182,The Fatal Encounter,60,78,,"['Drama', 'Action']",['LeeJae-gyu'],['ChoiNak-kwon'],,
183,Maya the Bee Movie,47,46,G,"['Adventure', 'Comedy', 'Kids&family', 'Animation']","['AlexsStadermann', 'SimonPickard']","['BarbaraStephen', 'ThorstenWegener']","['May 1', '2015']",
184,Pokémon the Movie: Diancie and the Cocoon of Destruction,,57,,"['Kids&family', 'Anime', 'Adventure']",['KunihikoYuyama'],"['TakemotoMori', 'KenichiArai', ""Jun'yaOkamoto"", 'NobuyukiHosoya']",,
185,The Divine Move,,57,,"['Drama', 'Action', 'Crime']",['JoBeomgu'],['SeoKang-ho'],,
186,Nicholas on Holiday,,,,,,,,
187,Grace of Monaco,9,25,,"['Drama', 'Biography']",['OlivierDahan'],"['Pierre-AngeLePogam', 'UdayChopra', 'ArashAmel']",,
188,Left Behind,0,2,PG-13,"['Mystery&thriller', 'Sci-fi', 'Action']",['VicArmstrong'],"['PaulLalonde', 'EdClydesdale']","['Oct 3', '2014']",14.0M
