movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Unholy,632357,tt9419056,Jeffrey Dean Morgan,17.9,Cricket Brown,8.763,William Sadler,19.708,Katie Aselton,6.761,Cary Elwes,19.0
The Last Duel,617653,tt4244994,Matt Damon,23.323,Adam Driver,18.735,Jodie Comer,29.463,Harriet Walter,10.693,Ben Affleck,23.439
Licorice Pizza,718032,tt11271038,Alana Haim,7.879,Cooper Hoffman,6.135,Sean Penn,14.277,Tom Waits,8.254,Bradley Cooper,38.912
The Little Things,602269,tt10016180,Denzel Washington,33.586,Rami Malek,20.994,Jared Leto,70.2,Chris Bauer,8.037,Michael Hyatt,9.761
Escape from Mogadishu,607844,tt14810692,Kim Yoon-seok,7.465,Jo In-sung,4.84,Heo Joon-ho,7.57,Kim So-jin,3.35,Jeong Man-sik,2.997
Master,680829,tt11286210,Regina Hall,14.426,Zoe Renee,3.616,Amber Gray,1.3,Talia Ryder,8.304,Talia Balsam,11.013
The Last Warrior: Root of Evil,589754,tt13606158,Viktor Horinyak,9.859,Mila Syvatska,5.748,Ekaterina Vilkova,6.604,Elena Yakovleva,3.695,Konstantin Lavronenko,3.823
The Last Warrior: A Messenger of Darkness,598014,tt13769630,Viktor Horinyak,9.859,Mila Syvatska,5.748,Ekaterina Vilkova,6.604,Elena Yakovleva,3.695,Konstantin Lavronenko,3.823
American Underdog,673309,tt11729298,Zachary Levi,21.383,Anna Paquin,12.407,Dennis Quaid,13.1,Jason Allen Wear,1.4,Aaron J. Brooks,0.6
Chaos Walking,412656,tt2076822,Daisy Ridley,20.045,Tom Holland,128.32,Mads Mikkelsen,51.526,Demián Bichir,6.129,David Oyelowo,6.407
The Courier,522241,tt8368512,Benedict Cumberbatch,39.658,Merab Ninidze,6.962,Rachel Brosnahan,13.079,Jessie Buckley,26.822,Angus Wright,2.503
Those Who Wish Me Dead,578701,tt3215824,Angelina Jolie,13.484,Finn Little,15.489,Jon Bernthal,24.637,Nicholas Hoult,25.64,Aidan Gillen,12.977
The Marksman,634528,tt6902332,Liam Neeson,33.989,Katheryn Winnick,36.255,Teresa Ruiz,21.983,Juan Pablo Raba,11.645,Jacob Perez,0.737
Last Night in Soho,576845,tt9639470,Thomasin McKenzie,30.893,Anya Taylor-Joy,38.002,Matt Smith,8.488,Rita Tushingham,7.986,Michael Ajao,2.136
The Day We Lit Up the Sky,849900,tt14866426,Peng Yuchang,5.184,Xu Enyi,0.828,Zhang Youhao,1.469,Yin Zheng,6.387,Sun Rui,0.6
Spencer,716612,tt12536294,Kristen Stewart,28.953,Jack Farthing,8.224,Sally Hawkins,19.115,Timothy Spall,11.204,Sean Harris,13.718
Kaamelott: First Installment,577242,tt9844322,Alexandre Astier,2.219,Lionnel Astier,3.395,Anne Girouard,1.388,Thomas Cousseau,2.81,Franck Pitiot,1.576
After We Fell,744275,tt13069986,Josephine Langford,23.354,Hero Fiennes Tiffin,13.794,Louise Lombard,13.173,Chance Perdomo,4.577,Rob Estes,9.706
Rurouni Kenshin: Final Chapter Part II - The Beginning,,,,,,,,,,,,
Wish Dragon,550205,tt5562070,Jimmy Wong,3.559,John Cho,8.081,Constance Wu,6.272,Natasha Liu Bordizzo,10.429,Jimmy O. Yang,19.789
Stillwater,616651,tt10696896,Matt Damon,23.323,Abigail Breslin,23.194,Camille Cottin,7.26,Lilou Siauvaud,3.483,Deanna Dunagan,1.193
Les Tuche 4,613335,tt12847352,Jean-Paul Rouve,8.876,Isabelle Nanty,9.095,Michel Blanc,9.224,Claire Nadeau,1.623,Sarah Stern,12.39
Dear Evan Hansen,567690,tt9357050,Ben Platt,4.425,Kaitlyn Dever,21.092,Amy Adams,19.554,Danny Pino,8.676,Julianne Moore,18.698
Parallel Mothers,766798,tt12618926,Penélope Cruz,23.261,Milena Smit,2.495,Israel Elejalde,1.61,Aitana Sánchez-Gijón,12.321,Rossy de Palma,12.791
