movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Fighter Pilot,248087,tt2404217,Junichi Okada,9.411,Haruma Miura,11.092,Mao Inoue,9.031,Isao Natsuyagi,5.789,Jun Fubuki,3.566
Miracle in Cell No. 7,665042,tt11799822,Vino G. Bastian,0.771,Graciella Abigail,1.96,Tora Sudiro,2.341,Indro,1.286,Bryan Domani,2.087
The Attorney,242452,tt3404140,Song Kang-ho,24.694,Kim Young-ae,4.43,Oh Dal-su,7.91,Yim Si-wan,9.898,Kwak Do-won,6.113
The Family,618353,tt12794046,Bruce Greenwood,8.83,Vincent Martella,14.619,John DiMaggio,6.967,Zehra Fazal,1.334,Gary Cole,16.784
Scary Movie V,4258,tt0795461,Ashley Tisdale,11.405,Simon Rex,11.699,Gracie Whitton,4.689,Ava Kolker,6.363,Molly Shannon,7.799
R.I.P.D.,49524,tt0790736,Jeff Bridges,17.346,Ryan Reynolds,40.796,Kevin Bacon,9.167,Mary-Louise Parker,12.764,Stephanie Szostak,7.122
Tiny Times,209049,tt3043630,Yang Mi,16.341,Amber Kuo,6.146,Bea Hayden Kuo,4.679,Xie Yi-lin,3.5,Kai Ko,2.339
Suck Me Shakespeer,233063,tt2987732,Elyas M'Barek,17.534,Karoline Herfurth,17.707,Katja Riemann,5.452,Jana Pallaske,7.977,Alwara Höfels,8.253
The Book Thief,203833,tt0816442,Geoffrey Rush,9.579,Sophie Nélisse,9.772,Emily Watson,19.528,Nico Liersch,6.561,Ben Schnetzer,12.316
Escape from Planet Earth,68179,tt0765446,Brendan Fraser,13.765,Jessica Alba,11.476,Rob Corddry,10.778,Steve Zahn,28.971,Sarah Jessica Parker,9.893
August: Osage County,152737,tt1322269,Meryl Streep,16.056,Julia Roberts,18.308,Chris Cooper,9.471,Julianne Nicholson,14.348,Juliette Lewis,22.931
The Best Man Holiday,146304,tt2083355,Terrence Howard,16.178,Harold Perrineau,11.972,Morris Chestnut,10.321,Sanaa Lathan,23.878,Taye Diggs,9.579
The Counselor,109091,tt2193215,Michael Fassbender,14.93,Penélope Cruz,23.261,Cameron Diaz,18.596,Javier Bardem,24.038,Brad Pitt,26.942
Sole a catinelle,231176,tt3066270,Checco Zalone,2.138,Miriam Dalmazio,4.277,Marco Paolini,2.647,Robert Dancs,0.98,Aurore Erguy,1.11
The Call,158011,tt1911644,Halle Berry,22.434,Abigail Breslin,20.558,Morris Chestnut,10.321,Michael Eklund,11.888,David Otunga,3.597
One Direction: This Is Us,164558,tt2515086,Harry Styles,10.519,Niall Horan,2.0,Zayn Malik,5.609,Louis Tomlinson,6.554,Liam Payne,4.85
Stalingrad,11101,tt0108211,Dominique Horwitz,1.956,Thomas Kretschmann,18.189,Jochen Nickel,2.787,Sebastian Rudolph,6.245,Dana Vávrová,6.002
Thunder and the House of Magic,202575,tt3148834,Grant George,3.681,Shanelle Workman,2.353,Joey Camen,1.4,Cinda Adams,1.96,Kyle Hebert,2.925
The Grandmaster,44865,tt1462900,Tony Leung Chiu-wai,21.703,Zhang Ziyi,14.867,Chang Chen,9.659,Song Hye-kyo,6.688,Zhao Benshan,1.8
Side Effects,109421,tt2053463,Rooney Mara,14.801,Jude Law,21.474,Catherine Zeta-Jones,18.474,Channing Tatum,22.942,Vinessa Shaw,14.031
The Host,72710,tt1517260,Saoirse Ronan,21.955,Diane Kruger,21.536,Max Irons,12.482,Jake Abel,10.256,William Hurt,23.957
Runner Runner,146238,tt2364841,Ben Affleck,23.439,Gemma Arterton,23.064,Justin Timberlake,7.076,Anthony Mackie,17.839,David Costabile,7.781
The Face Reader,220176,tt3008014,Song Kang-ho,24.694,Lee Jung-jae,21.603,Baek Yoon-sik,5.558,Cho Jung-seok,4.486,Lee Jong-suk,17.109
The Legend of Hercules,188207,tt1043726,Kellan Lutz,14.831,Liam McIntyre,11.477,Gaia Weiss,17.168,Scott Adkins,15.83,Roxanne McKee,7.792
Kick-Ass 2,59859,tt1650554,Aaron Taylor-Johnson,14.255,Chloë Grace Moretz,56.69,Christopher Mintz-Plasse,9.593,Jim Carrey,24.867,Clark Duke,8.525
