,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
73,Spotlight,"98,690,254","45,055,776",45.7,"53,634,478",54.3,97.0,93.0,R,TomMcCarthy,"MichaelSugar,SteveGolin,NicoleRocklin,BlyePagonFaust",11-20-2015,45000000.0,7.9,15,movie,Spotlight,0,2015,99,Drama
74,Devil and Angel,"98,599,942","131,058",0.1,"98,468,884",99.9,,,,,,,,4.3,261,movie,E gun tian shi,0,2015,124,Comedy
75,The Visit,"98,450,062","65,206,105",66.2,"33,243,957",33.8,68.0,51.0,PG-13,M.NightShyamalan,"M.NightShyamalan,JasonBlum,MarcBienstock",9-11-2015,65099999.99999999,6.2,127090,movie,The Visit,0,2015,94,"Horror,Mystery,Thriller"
76,The Visit,"98,450,062","65,206,105",66.2,"33,243,957",33.8,68.0,51.0,PG-13,M.NightShyamalan,"M.NightShyamalan,JasonBlum,MarcBienstock",9-11-2015,65099999.99999999,5.9,728,movie,The Visit,0,2015,83,Documentary
77,The Little Prince,"97,571,250","1,339,152",1.4,"96,232,098",98.6,93.0,84.0,PG,MarkOsborne,"DimitriRassam,AtonSoumache,AlexisVonarb",8-5-2016,1300000.0,7.7,60989,movie,Le Petit Prince,0,2015,108,"Adventure,Animation,Drama"
78,The Little Prince,"97,571,250","1,339,152",1.4,"96,232,098",98.6,93.0,84.0,PG,MarkOsborne,"DimitriRassam,AtonSoumache,AlexisVonarb",8-5-2016,1300000.0,8.0,5,movie,The Little Prince,0,2015,49,Documentary
79,Assassination,"96,119,773","1,904,682",2,"94,215,091",98,83.0,84.0,,ChoiDong-hoon,AhnSuhyeon,8-7-2015,1900000.0,7.3,6842,movie,Amsal,0,2015,140,"Action,Drama,Thriller"
80,Poltergeist,"95,437,994","47,425,125",49.7,"48,012,869",50.3,30.0,22.0,PG-13,GilKenan,"SamRaimi,RobTapert,RoyLee",5-22-2015,47300000.0,4.9,57662,movie,Poltergeist,0,2015,93,"Horror,Thriller"
81,Veteran,"94,393,020","1,200,627",1.3,"93,192,393",98.7,90.0,78.0,,RyooSeung-wan,,,1000000.0,7.0,6447,movie,Beterang,0,2015,123,"Action,Comedy,Crime"
82,In the Heart of the Sea,"93,920,758","25,020,758",26.6,"68,900,000",73.4,42.0,53.0,PG-13,RonHoward,"PaulaWeinstein,JoeRoth,WillWard,BrianGrazer,RonHoward",12-11-2015,23100000.0,6.9,135302,movie,In the Heart of the Sea,0,2015,122,"Action,Adventure,Biography"
83,Kill Zone 2,"93,638,358","11,998",<0.1,"93,626,360",100,,,,,,,,6.7,6669,movie,Saat po long 2,0,2015,120,"Action,Adventure,Crime"
84,Southpaw,"91,970,827","52,421,953",57,"39,548,874",43,60.0,75.0,R,AntoineFuqua,"ToddBlack,JasonBlumenthal,AntoineFuqua,AlanRiche,PeterRiche,SteveTisch,JerryYe",7-24-2015,52400000.0,7.4,232116,movie,Southpaw,0,2015,124,"Action,Crime,Drama"
85,The Second Best Exotic Marigold Hotel,"85,978,266","33,078,266",38.5,"52,900,000",61.5,65.0,59.0,PG,JohnMadden,"GrahamBroadbent,PeterCzernin",3-6-2015,33000000.0,6.5,33495,movie,The Second Best Exotic Marigold Hotel,0,2015,122,"Comedy,Drama,Romance"
86,Paper Towns,"85,512,300","32,000,304",37.4,"53,511,996",62.6,58.0,47.0,PG-13,JakeSchreier,"WyckGodfrey,MartyBowen",7-24-2015,31900000.0,6.3,101425,movie,Paper Towns,0,2015,109,"Adventure,Comedy,Drama"
87,Sicario,"84,872,444","46,889,293",55.2,"37,983,151",44.8,92.0,85.0,R,DenisVilleneuve,"BasilIwanyk,EdwardL.McDonnell,MollySmith,ThadLuckinbill,TrentLuckinbill",10-2-2015,46900000.0,7.7,413701,movie,Sicario,0,2015,121,"Action,Crime,Drama"
88,Our Times,"83,867,493",-,-,"83,867,493",100,,79.0,,YuShanChen,Ju-fengYeh,,722.5K,7.4,5220,movie,Wo de shaonu shidai,0,2015,134,"Comedy,Romance"
89,Suck Me Shakespeer 2,"83,027,924",-,-,"83,027,924",100,,,,,,,,5.9,12861,movie,Fack ju Göhte 2,0,2015,115,Comedy
90,Hitman: Agent 47,"82,347,656","22,467,450",27.3,"59,880,206",72.7,8.0,40.0,R,AleksanderBach,"CharlesGordon,AdrianAskarieh,AlexYoung,SkipWoods",8-21-2015,22400000.0,5.7,89895,movie,Hitman: Agent 47,0,2015,96,"Action,Crime,Thriller"
91,Wolf Warrior,"81,411,331",-,-,"81,411,331",100,,23.0,,JingWu,LivJianmin,,,5.3,5137,movie,Zhan lang,0,2015,90,"Action,Crime,Thriller"
92,Go Away Mr. Tumor,"80,606,893","286,639",0.4,"80,320,254",99.6,,80.0,,HanYan,,8-14-2015,284.4K,6.6,1118,movie,Gun dan ba! Zhong liu jun,0,2015,85,"Comedy,Romance"
93,The Wedding Ringer,"79,799,880","64,460,211",80.8,"15,339,669",19.2,29.0,63.0,R,JeremyGarelick,"AdamFields,WillPacker",1-16-2015,64500000.0,6.6,74935,movie,The Wedding Ringer,0,2015,101,Comedy
94,Paranormal Activity: The Ghost Dimension,"78,903,124","18,300,124",23.2,"60,603,000",76.8,14.0,27.0,R,GregoryPlotkin,"JasonBlum,OrenPeli",10-23-2015,18300000.0,4.6,27505,movie,Paranormal Activity: The Ghost Dimension,0,2015,88,"Horror,Mystery"
95,The Left Ear,"78,015,473",-,-,"78,015,473",100,,50.0,,AlecSu,,,,5.5,449,movie,Zuo er,0,2015,120,Drama
96,Tiny Times 4.0,"77,750,000",-,-,"77,750,000",100,,,,,,,,3.0,466,movie,Xiao shi dai 4: Ling hun jin tou,0,2015,116,"Drama,Romance"
97,Bajrangi Bhaijaan,"75,547,184","8,178,001",10.8,"67,369,183",89.2,88.0,86.0,,KabirKhan,"AmarButala,KabirKhan,SalmanKhan,SunilLulla,RocklineVenkatesh",,7700000.0,8.1,84431,movie,Bajrangi Bhaijaan,0,2015,163,"Action,Adventure,Comedy"
98,War Room,"73,267,874","67,790,117",92.5,"5,477,757",7.5,34.0,87.0,PG,AlexKendrick,StephenKendrick,8-28-2015,67800000.0,6.5,14723,movie,War Room,0,2015,120,Drama
99,The Transporter Refueled,"72,629,670","16,029,670",22.1,"56,600,000",77.9,15.0,30.0,PG-13,CamilleDelamarre,"LucBesson,MarkGao",9-4-2015,16000000.0,5.2,41706,movie,The Transporter Refueled,0,2015,96,"Action,Thriller"
