,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
58,Wolf Totem,,,,,,,,,,,58,125837070,210591,0.2,125626479,99.8,67.0,50.0,PG-13,Jean-JacquesAnnaud,,9-11-2015,,6.6,5857,movie,Le dernier loup,0,2015,121,"Adventure,Drama"
59,Dragon Blade,Xiang Yuxing,0.6,,,,,,,,,59,122593849,74068,<0.1,122519781,99.9,,,,,,,,5.9,19752,movie,Tian jiang xiong shi,0,2015,127,"Action,Drama,Fantasy"
60,Magic Mike XXL,Channing Tatum,22.942,Matt Bomer,11.562,Joe Manganiello,12.123,Kevin Nash,10.815,Adam Rodríguez,15.233,60,117813057,66013057,56,51800000,44.0,65.0,55.0,R,GregoryJacobs,"NickWechsler,GregoryJacobs,ChanningTatum,ReidCarolin",7-1-2015,66000000.0,5.6,55231,movie,Magic Mike XXL,0,2015,115,"Comedy,Drama,Music"
61,Insidious: Chapter 3,Stefanie Scott,10.332,Lin Shaye,13.745,Dermot Mulroney,22.46,Leigh Whannell,8.22,Angus Sampson,18.463,61,112983889,52218558,46.2,60765331,53.8,58.0,51.0,PG-13,LeighWhannell,"JasonBlum,OrenPeli,JamesWan",6-5-2015,52200000.0,6.1,102345,movie,Insidious: Chapter 3,0,2015,97,"Horror,Mystery,Thriller"
62,Get Hard,Will Ferrell,13.839,Kevin Hart,14.271,Alison Brie,26.876,Craig T. Nelson,11.53,T.I.,6.628,62,111711453,90411453,80.9,21300000,19.1,28.0,45.0,R,EtanCohen,"WillFerrell,AdamMcKay,ChrisHenchy",3-27-2015,90400000.0,6.0,133268,movie,Get Hard,0,2015,100,"Comedy,Crime"
63,Paul Blart: Mall Cop 2,Kevin James,18.227,Daniella Alonso,10.637,Neal McDonough,25.17,David Henrie,6.696,Eduardo Verástegui,8.321,63,107588225,71038190,66,36550035,34.0,6.0,33.0,PG,AndyFickman,"ToddGarner,KevinJames,AdamSandler,JackGiarraputo",4-17-2015,71000000.0,4.4,37007,movie,Paul Blart: Mall Cop 2,0,2015,94,"Action,Comedy,Crime"
64,Vacation,John Cena,15.948,Lil Rel Howery,8.914,Meredith Hagner,8.372,Yvonne Orji,3.318,Robert Wisdom,9.421,64,107228221,58884188,54.9,48344033,45.1,27.0,45.0,R,"JonathanM.Goldstein,JohnFrancisDaley","DavidDobkin,ChrisBender",7-29-2015,58900000.0,6.1,109082,movie,Vacation,0,2015,99,"Adventure,Comedy"
65,The Man from U.N.C.L.E.,Henry Cavill,46.737,Armie Hammer,23.554,Alicia Vikander,17.078,Elizabeth Debicki,15.707,Luca Calvani,2.648,65,107045109,45445109,42.5,61600000,57.5,68.0,73.0,PG-13,GuyRitchie,"JohnDavis,LionelWigram,GuyRitchie,SteveClark-Hall",8-14-2015,45400000.0,7.2,299815,movie,The Man from U.N.C.L.E.,0,2015,116,"Action,Adventure,Comedy"
66,Chronicles of the Ghostly Tribe,Yao Chen,4.785,Mark Chao,8.873,Rhydian Vaughan,11.134,Jerry Lee,1.725,Tang Yan,11.231,66,106380000,-,-,106380000,100.0,,,,,,,,5.2,1704,movie,Jiu ceng yao ta,0,2015,118,"Action,Adventure,Drama"
67,Shaun the Sheep Movie,Justin Fletcher,2.938,Omid Djalili,6.655,Richard Webber,0.611,Kate Harbour,2.363,Tim Hands,0.6,67,106209378,19375982,18.2,86833396,81.8,99.0,81.0,PG,"MarkBurton,RichardStarzak","JulieLockhart,PaulKewley",8-5-2015,19400000.0,7.3,40109,movie,Shaun the Sheep Movie,0,2015,85,"Adventure,Animation,Comedy"
