,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
144,Recep Ivedik 4,"39,477,906",-,-,"39,477,906",100,,47.0,,ToganGökbakar,"EmrahCoban,SahanGökbakar",,,3.8,16514,movie,Recep Ivedik 4,0,2014,117,Comedy
145,Sin City: A Dame to Kill For,"39,407,616","13,757,804",34.9,"25,649,812",65.1,42.0,44.0,R,"RobertRodriguez,FrankMiller","RobertRodriguez,AaronKaufman,StephenL'Heureux,AlexanderRodyansky,MarkC.Manuel",8-22-2014,13800000.0,6.5,159822,movie,Sin City: A Dame to Kill For,0,2014,102,"Action,Crime,Thriller"
146,The Gambler,"39,280,992","33,680,992",85.7,"5,600,000",14.3,,,,TomEmmatty,,,,6.0,69721,movie,The Gambler,0,2014,111,"Crime,Drama,Thriller"
147,Samba,"39,178,695","151,530",0.4,"39,027,165",99.6,61.0,54.0,R,"EricToledano,OlivierNakache","NicolasDuval-Adassovsky,YannZenou,LaurentZeitoun",7-24-2015,149.8K,6.7,16302,movie,Samba,0,2014,118,"Comedy,Drama,Romance"
148,Women Who Flirt,"39,156,132","375,495",1,"38,780,637",99,40.0,48.0,,Ho-CheungPang,,11-26-2014,141.0K,5.9,854,movie,Sa jiao nu ren zui hao ming,0,2014,97,Comedy
149,The Best of Me,"38,609,668","26,766,213",69.3,"11,843,455",30.7,,0.0,,RoserAguilar,,,,6.7,70830,movie,The Best of Me,0,2014,118,"Drama,Romance"
150,Million Dollar Arm,"38,483,455","36,457,627",94.7,"2,025,828",5.3,64.0,68.0,PG,CraigGillespie,"MarkCiardi,GordonGray,JoeRoth",5-16-2014,36400000.0,7.0,45622,movie,Million Dollar Arm,0,2014,124,"Biography,Drama,Sport"
151,The Water Diviner,"38,176,317","4,196,641",11,"33,979,676",89,62.0,60.0,R,RussellCrowe,"AndrewMason,KeithRodger,TroyLum",4-24-2015,34600000.0,7.0,74655,movie,The Water Diviner,0,2014,111,"Drama,History,War"
152,But Always,"38,039,248","430,760",1.1,"37,608,488",98.9,14.0,54.0,,SnowZou,YibaiZhang,9-5-2014,417.6K,5.3,448,movie,Yi sheng yi shi,0,2014,106,"Drama,Romance"
153,Devil's Due,"36,921,560","15,821,461",42.9,"21,100,099",57.1,18.0,21.0,R,"MattBettinelli-Olpin,TylerGillett",JohnDavis,1-17-2014,15800000.0,4.1,16647,movie,Devil's Due,0,2014,89,"Horror,Mystery"
154,A Most Wanted Man,"36,233,517","17,237,855",47.6,"18,995,662",52.4,85.0,65.0,R,AntonCorbijn,"StephenCornwell,GailEgan,MalteGrunert,SimonCornwell,AndreaCalderwood",8-1-2014,17200000.0,6.8,75793,movie,A Most Wanted Man,0,2014,122,"Crime,Drama,Thriller"
155,Kundo: Age of the Rampant,"35,941,291","280,958",0.8,"35,660,333",99.2,82.0,68.0,,YoonJong-bin,KangHyeon,,276.8K,6.8,3414,movie,Kundo: Min-ran-eui si-dae,0,2014,137,"Action,Drama"
156,When Marnie Was There,"34,949,567","561,085",1.6,"34,388,482",98.4,91.0,88.0,PG,HiromasaYonebayashi,"YoshiakiNishimura,KojiHoshino",5-22-2015,314.3K,7.7,38765,movie,Omoide no Mânî,0,2014,103,"Animation,Drama,Family"
157,Endless Love,"34,718,173","23,438,250",67.5,"11,279,923",32.5,16.0,58.0,PG-13,ShanaFeste,"ScottStuber,PamelaAbdy,JoshSchwartz,StephanieSavage",2-14-2014,23400000.0,6.2,44044,movie,Endless Love,0,2014,104,"Drama,Romance"
158,Black & White: The Dawn of Justice,"34,146,896",-,-,"34,146,896",100,,,,,,,,5.7,634,movie,Pi Zi Ying Xiong 2,0,2014,126,Action
159,"My Love, Don't Cross That River","34,012,261",-,-,"34,012,261",100,77.0,65.0,,Mo-YoungJin,,6-17-2016,86.3K,7.9,693,movie,"Nim-a, geu-gang-eul geon-neo-ji ma-o",0,2014,86,"Documentary,Drama,Romance"
160,Don't Go Breaking My Heart 2,"33,801,759",-,-,"33,801,759",100,,31.0,,JohnnieTo,,,,5.5,705,movie,Daan san nam nui 2,0,2014,113,Romance
