,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
57,57,57,Jack Reacher: Never Go Back,162146076,58697076,36.2,103449000,63.8,38.0,42.0,PG-13,EdwardZwick,"TomCruise,DonGranger,ChristopherMcQuarrie",10-21-2016,58700000.0,6.1,153339,movie,Jack Reacher: Never Go Back,0,2016,118,"Action,Crime,Drama"
58,58,58,Don't Breathe,157761002,89217875,56.6,68543127,43.4,88.0,79.0,R,FedeAlvarez,"SamRaimi,RobTapert,FedeAlvarez",8-26-2016,89200000.0,7.1,263352,movie,Don't Breathe,0,2016,88,"Crime,Horror,Thriller"
59,59,59,The Accountant,155160045,86260045,55.6,68900000,44.4,52.0,76.0,R,GavinO'Connor,"MarkWilliams,LynetteHowellTaylor",10-14-2016,86200000.0,7.3,287307,movie,The Accountant,0,2016,128,"Action,Thriller"
60,60,60,Lights Out,148868835,67268835,45.2,81600000,54.8,,,,,,,,6.3,125726,movie,Lights Out,0,2016,81,"Horror,Mystery"
61,61,61,Time Raiders,145819137,-,-,145819137,100,,41.0,,DanielLee,SusannaTsang,,,4.9,820,movie,Time Raiders,0,2016,124,"Adventure,Fantasy"
62,62,62,Pete's Dragon,143695338,76233151,53.1,67462187,46.9,88.0,72.0,PG,DavidLowery,JamesWhitaker,8-12-2016,555000000.0,6.7,57616,movie,Pete's Dragon,0,2016,102,"Action,Adventure,Comedy"
63,63,63,Sausage Party,140705322,97685686,69.4,43019636,30.6,82.0,50.0,R,"ConradVernon,GregTiernan","MeganEllison,SethRogen,EvanGoldberg,ConradVernon",8-12-2016,97700000.0,6.1,189719,movie,Sausage Party,0,2016,89,"Adventure,Animation,Comedy"
64,64,64,Lion,140312928,51738905,36.9,88574023,63.1,84.0,91.0,PG-13,GarthDavis,"EmileSherman,IainCanning,AngieFielder",12-21-2016,51700000.0,8.0,231119,movie,Lion,0,2016,118,"Biography,Drama"
65,65,65,Skiptrace,136579287,-,-,136579287,100,38.0,27.0,PG-13,RennyHarlin,"JackieChan,CharlieCoker,DavidGerson,MinLi,DamienSaccani,EsmondRen",9-2-2016,,5.6,20669,movie,Jue di tao wang,0,2016,107,"Action,Adventure,Comedy"
66,66,66,Mechanic: Resurrection,125729635,21218403,16.9,104511232,83.1,30.0,40.0,R,DennisGansel,"JohnThompson,RobertEarl,DavidWinkler,WilliamChartoff",8-26-2016,21200000.0,5.7,83139,movie,Mechanic: Resurrection,0,2016,98,"Action,Adventure,Crime"
67,67,67,Deepwater Horizon,121790373,61433527,50.4,60356846,49.6,83.0,82.0,PG-13,PeterBerg,"LorenzodiBonaventura,MarkVahradian,StephenLevinson,DavidWomark,MarkWahlberg",9-30-2016,61400000.0,7.1,165045,movie,Deepwater Horizon,0,2016,107,"Action,Drama,History"
68,68,68,Allied,119520023,40098064,33.5,79421959,66.5,60.0,64.0,R,RobertZemeckis,"GrahamKing,RobertZemeckis,SteveStarkey",11-23-2016,39800000.0,7.1,152950,movie,Allied,0,2016,124,"Action,Drama,Romance"
69,69,69,I Belonged to You,119107580,744541,0.6,118363039,99.4,,56.0,,ZhangYibai,,9-30-2016,,5.6,502,movie,I Belonged to You,0,2016,112,"Drama,Romance"
70,70,70,The Shallows,119100758,55124043,46.3,63976715,53.7,78.0,59.0,PG-13,JaumeCollet-Serra,"LynnHarris,MattiLeshem",6-24-2016,55100000.0,6.3,129768,movie,The Shallows,0,2016,86,"Action,Drama,Horror"
71,71,71,The Purge: Election Year,118587880,79213375,66.8,39374505,33.2,56.0,48.0,R,JamesDeMonaco,"JasonBlum,MichaelBay,AndrewForm,BradFuller,SebastienK.Lemercier",7-1-2016,79000000.0,6.0,98983,movie,The Purge: Election Year,0,2016,108,"Action,Horror,Sci-Fi"
72,72,72,Why Him?,118102725,60323786,51.1,57778939,48.9,39.0,51.0,R,JohnHamburg,"ShawnLevy,BenStiller,JonahHill,DanLevine",12-23-2016,60200000.0,6.2,110139,movie,Why Him?,0,2016,111,Comedy
73,73,73,Book of Love,114679097,-,-,114679097,100,49.0,61.0,,AnaleineCalyMayor,"MichaelKnowles,NaysunAlae-Carew,AllanNiblo,NickSpicer,MaximeCottray,MattWilliams,RichardAlanReid",,,6.2,890,movie,Bei Jing yu shang Xi Ya Tu 2,0,2016,132,"Comedy,Romance"
74,74,74,Office Christmas Party,114501299,54767494,47.8,59733805,52.2,41.0,40.0,R,"JoshGordon,WillSpeck","GuymonCasady,DanielRappaport,ScottStuber",12-9-2016,54100000.0,5.8,79084,movie,Office Christmas Party,0,2016,105,Comedy
75,75,75,How to Be Single,112343513,46843513,41.7,65500000,58.3,46.0,47.0,R,ChristianDitter,"JohnRickard,DanaFox",2-12-2016,46800000.0,6.1,86853,movie,How to Be Single,0,2016,110,"Comedy,Drama,Romance"
76,76,76,10 Cloverfield Lane,110216998,72082998,65.4,38134000,34.6,90.0,79.0,PG-13,DanTrachtenberg,"J.J.Abrams,LindseyWeber",3-11-2016,72100000.0,7.2,314792,movie,10 Cloverfield Lane,0,2016,103,"Action,Drama,Horror"
77,77,77,Neighbors 2: Sorority Rising,108007109,55455765,51.3,52551344,48.7,64.0,44.0,R,NicholasStoller,"SethRogen,EvanGoldberg,JamesWeaver",5-20-2016,55300000.0,5.7,120926,movie,Neighbors 2: Sorority Rising,0,2016,92,Comedy
78,78,78,Cold War 2,103197501,560824,0.5,102636677,99.5,60.0,56.0,,"LongmondLeungLok-Man,SunnyLukKim-Ching","IvyHo,WilliamKong",7-8-2016,553.8K,6.6,2828,movie,Hon zin 2,0,2016,110,"Action,Crime,Drama"
79,79,79,Railroad Tigers,102205175,218044,0.2,101987131,99.8,38.0,46.0,,ShengDing,,1-6-2017,217.1K,5.7,4369,movie,Tie dao fei hu,0,2016,124,"Action,Adventure,Comedy"
80,80,80,Qing sheng,95721752,100026,0.1,95621726,99.9,,,,,,,,6.1,1310,movie,Qing sheng,0,2016,116,Comedy
81,81,81,Dirty Grandpa,94073028,35593113,37.8,58479915,62.2,10.0,44.0,R,DanMazer,"JasonBarrett,BillBlock,BarryJosephson,MichaelSimkin",1-22-2016,,5.9,121555,movie,Dirty Grandpa,0,2016,102,Comedy
82,82,82,Ben-Hur,94061311,26410477,28.1,67650834,71.9,25.0,53.0,PG-13,TimurBekmambetov,"SeanDaniel,DuncanHenderson,JoniLevin",8-19-2016,26400000.0,5.7,43824,movie,Ben-Hur,0,2016,123,"Action,Adventure,Drama"
83,83,83,Money Monster,93282604,41012075,44,52270529,56,59.0,50.0,R,JodieFoster,"LaraAlameddine,GeorgeClooney,DanielDubiecki,GrantHeslov",5-13-2016,41000000.0,6.5,98959,movie,Money Monster,0,2016,98,"Crime,Drama,Mystery"
84,84,84,Train to Busan,92742323,2129768,2.3,90612555,97.7,94.0,89.0,,YeonSang-ho,LeeDong-ha,7-22-2016,2100000.0,7.6,206704,movie,Busanhaeng,0,2016,118,"Action,Horror,Thriller"
85,85,85,My Big Fat Greek Wedding 2,90632641,59689605,65.9,30943036,34.1,27.0,53.0,PG-13,KirkJones,"RitaWilson,GaryGoetzman,TomHanks",3-25-2016,59600000.0,6.0,30471,movie,My Big Fat Greek Wedding 2,0,2016,94,"Comedy,Romance"
86,86,86,Collateral Beauty,88528280,31016021,35,57512259,65,14.0,64.0,PG-13,DavidFrankel,"BardDorros,MichaelSugar,AllanLoeb,AnthonyBregman,KevinScottFrakes",12-16-2016,31000000.0,6.8,98817,movie,Collateral Beauty,0,2016,97,"Drama,Romance"
87,87,87,Line Walker,88228755,-,-,88228755,100,,45.0,,JazzBoon,JingWong,,,6.0,1439,movie,Shi tu xing zhe,0,2016,109,"Action,Crime,Mystery"
88,88,88,Sultan,87280000,6200000,7.1,81080000,92.9,79.0,76.0,,AliAbbasZafar,AdityaChopra,7-7-2016,5200000.0,7.1,45061,movie,Sultan,0,2016,170,"Action,Drama,Sport"
