,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
147,147,Fly Me to the Saitama,32802347,-,-,32802347,100,,,,HidekiTakeuchi,,,,6.3,725,movie,Tonde Saitama,0,2019,106,"Comedy,Drama,Fantasy"
148,148,UglyDolls,32450241,20150241,62.1,12300000,37.9,28.0,54.0,PG,KellyAsbury,"JaneHartwell,RobertRodriguez",5-3-2019,20100000.0,5.0,6752,movie,UglyDolls,0,2019,87,"Adventure,Animation,Comedy"
149,149,Stuber,32390945,22370452,69.1,10020493,30.9,42.0,79.0,R,MichaelDowse,"JonathanM.Goldstein,JohnFrancisDaley",7-12-2019,22400000.0,6.2,46214,movie,Stuber,0,2019,93,"Action,Comedy,Crime"
150,150,Hit Me Anyone One More Time!,32333512,-,-,32333512,100,,,,KokiMitani,,,,6.1,536,movie,Kioku ni gozaimasen!,0,2019,127,"Comedy,Drama"
151,151,Somewhere Winter,32218990,-,-,32218990,100,,,,Wei-MingWang,,,,6.0,103,movie,Da yue zai dong ji,0,2019,125,Drama
152,152,The Kid Who Would Be King,32140970,16790790,52.2,15350180,47.8,90.0,55.0,PG,JoeCornish,"NiraPark,TimBevan,EricFellner",1-25-2019,16800000.0,6.1,16484,movie,The Kid Who Would Be King,0,2019,120,"Action,Adventure,Family"
153,153,Two Tigers,32001580,-,-,32001580,100,,,,FeiLi,,,,5.8,228,movie,Liang zhi lao hu,0,2019,93,Comedy
154,154,Anna,31626978,7743794,24.5,23883184,75.5,10.0,60.0,PG-13,JustinLin,"DamienSaccani,MarkVahradian",1-27-2006,17100000.0,5.4,15,movie,Anna,0,2019,106,Drama
155,155,Anna,31626978,7743794,24.5,23883184,75.5,10.0,60.0,PG-13,JustinLin,"DamienSaccani,MarkVahradian",1-27-2006,17100000.0,6.6,77920,movie,Anna,0,2019,118,"Action,Thriller"
156,156,My Dear Liar,31177968,90545,0.3,31087423,99.7,,,,AoShen,,11-8-2019,90.5K,6.4,291,movie,Shou yi ren,0,2019,116,Drama
157,157,The Wild Goose Lake,31064835,12573,<0.1,31052262,100,,,,,,,,6.8,6524,movie,Nan fang che zhan de ju hui,0,2019,113,"Crime,Drama"
158,158,My Hero Academia: Heroes Rising,29971229,13304000,44.4,16667229,55.6,90.0,98.0,PG-13,KenjiNagasaki,,2-26-2020,13300000.0,7.9,7413,movie,My Hero Academia - Boku no hîrô akademia THE MOVIE - Heroes: Rising - Hîrôzu: Raijingu,0,2019,104,"Action,Adventure,Animation"
