Unnamed: 0,Movie Title,Release-Date,moviename,release_date,budget,year,cleaned_budget,cleaned_release_date,rd
1829,The Marriage Escape,,The Marriage Escape,"
13 February 2020 (2020-02-13)
",,2020.0,,2020-02-13,2020-02-13
1830,The Heist of the Century,,The Heist of the Century,"
16 January 2020 (2020-01-16)
",,2020.0,,2020-01-16,2020-01-16
1831,De Gaulle,2021-10-22,,,,,,,2021-10-22
1832,Fukushima 50,,Fukushima 50,"
March 6, 2020 (2020-03-06)
[3][4]",,2020.0,,2020-03-06,2020-03-06
1833,"Turu, the Wacky Hen",,"Turu, the Wacky Hen","
21 September 2019 (2019-09-21) (SSIFF)
1 January 2020 (2020-01-01) (Spain)
",,2020.0,,2020-01-01,2020-01-01
1834,Back to the Wharf,,Back to the Wharf,,,2020.0,,,
1835,Adu,,Adu,"
31 January 2020 (2020-01-31)
",,2020.0,,2020-01-31,2020-01-31
1837,Spycies,,Spycies,"
14 June 2019 (2019-06-14) (Annecy)
11 January 2020 (2020-01-11) (China)
",$20 million,2020.0,20000000.0,2020-01-11,2020-01-11
1838,Jim Button and the Wild 13,,Jim Button and the Wild 13,,,2020.0,,,
1839,Dragon Rider,,Dragon Rider,"
1 October 2020 (2020-10-01) (Germany)
",,2020.0,,2020-10-01,2020-10-01
1840,Psy 3: W imie zasad,,Psy 3: W imie zasad,,,2020.0,,,
1841,Blood Moon Party,,Blood Moon Party,,,2020.0,,,
1842,Shubh Mangal Zyada Saavdhan,,Shubh Mangal Zyada Saavdhan,"
21 February 2020 (2020-02-21)
",₹20 crore,2020.0,20.0,2020-02-21,2020-02-21
1844,Hammamet,,Hammamet,,,2020.0,,,
1845,Lindenberg! Mach dein Ding,,Lindenberg! Mach dein Ding,,,2020.0,,,
1846,Midnight Swan,,Midnight Swan,"
September 25, 2020 (2020-09-25)
",,2020.0,,2020-09-25,2020-09-25
1847,Simply Black,,Simply Black,,,2020.0,,,
1850,Hotel Belgrade,,Hotel Belgrade,"
March 5, 2020 (2020-03-05)
",₽150 million,2020.0,150000000.0,2020-03-05,2020-03-05
1851,How to Be a Good Wife,,How to Be a Good Wife,"
11 March 2020 (2020-03-11)
",,2020.0,,2020-03-11,2020-03-11
1852,The Legacy Of Dr. Death: Black File,,The Legacy Of Dr. Death: Black File,,,2020.0,,,
1854,Jak zostalem gangsterem. Historia prawdziwa,,Jak zostalem gangsterem. Historia prawdziwa,,,2020.0,,,
1855,Twiceborn,2020-10-16,,,,,,,2020-10-16
1856,Beasts Clawing at Straws,2020-10-21,,,,,,,2020-10-21
1857,Klassikokkutulek 2: Pulmad ja matused,,Klassikokkutulek 2: Pulmad ja matused,,,2020.0,,,
1858,Mama Weed,,Mama Weed,,,2020.0,,,
1859,Divorce Club,,Divorce Club,,,2020.0,,,
1860,Cindy La Regia,,Cindy La Regia,"
25 January 2020 (2020-01-25) (Mexico)
",,2020.0,,2020-01-25,2020-01-25
1861,Love Aaj Kal,,Love Aaj Kal,"
14 February 2020 (2020-02-14) (India)
",₹580 million,2020.0,580000000.0,2020-02-14,2020-02-14
1862,Masked Ward,,Masked Ward,,,2020.0,,,
1863,Ayyappanum Koshiyum,,Ayyappanum Koshiyum,"
7 February 2020 (2020-02-07)
",,2020.0,,2020-02-07,2020-02-07
1864,Baba Parasi,,Baba Parasi,,,2020.0,,,
1865,Die Känguru-Chroniken,,,,,,,,
1866,The Real Exorcist,2020-08-28,,,,,,,2020-08-28
1867,Mayday,2021-10-01,,,,,,,2021-10-01
1868,Made in Abyss: Dawn of the Deep Soul,,Made in Abyss: Dawn of the Deep Soul,,,2020.0,,,
1869,Godai - The Wunderkind,,Godai - The Wunderkind,,,2020.0,,,
1870,Military Wives,,Military Wives,"
6 September 2019 (2019-09-06) (TIFF)
6 March 2020 (2020-03-06) (United Kingdom)
",,2020.0,,2020-03-06,2020-03-06
1871,Streltsov,,,,,,,,
1874,The Vets,,The Vets,,,2020.0,,,
1875,The Broken Hearts Gallery,2020-09-11,,,,,,,2020-09-11
