moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Puss in Boots,"
October 16, 2011 (2011-10-16) (Allure of the Seas)
October 28, 2011 (2011-10-28) (United States)
",$130 million,2011.0,130000000.0,2011-10-28
Sherlock Holmes: A Game of Shadows,"
16 December 2011 (2011-12-16)
",$125 million,2011.0,125000000.0,2011-12-16
Rio,,,2014.0,,
Rise of the Planet of the Apes,"
August 5, 2011 (2011-08-05)
",$93 million,2011.0,93000000.0,2011-08-05
Thor,"
October 10, 2017 (2017-10-10) (El Capitan Theatre)
November 3, 2017 (2017-11-03) (United States)
",$180 million,2017.0,180000000.0,2017-11-03
The Intouchables,"
23 September 2011 (2011-09-23) (San Sebastian)
2 November 2011 (2011-11-02) (France)
",€9.5 million($10.8 million),2011.0,8000000.0,2011-11-02
The Adventures of Tintin,,,2011.0,,
Captain America: The First Avenger,"
July 19, 2011 (2011-07-19) (El Capitan Theatre)
July 22, 2011 (2011-07-22) (United States)
",$140–216.7 million,2011.0,7000000.0,2011-07-22
Alvin and the Chipmunks: Chipwrecked,"
December 16, 2011 (2011-12-16)
",$80 million,2011.0,80000000.0,2011-12-16
Real Steel,"
September 6, 2011 (2011-09-06) (Paris)
October 6, 2011 (2011-10-06) (Australia)
October 7, 2011 (2011-10-07) (United States)
",$110 million,2011.0,110000000.0,2011-10-07
Bridesmaids,"
April 28, 2011 (2011-04-28) (Westwood premiere)
May 13, 2011 (2011-05-13) (United States)
",$32.5 million,2011.0,5000000.0,2011-05-13
Super 8,"
June 9, 2011 (2011-06-09) (Australia)
June 10, 2011 (2011-06-10) (United States)
",$50 million,2011.0,50000000.0,2011-06-10
Rango,"
February 14, 2011 (2011-02-14) (Westwood premiere)
March 4, 2011 (2011-03-04) (United States)
",$135 million,2011.0,135000000.0,2011-03-04
The Girl with the Dragon Tattoo,"
December 12, 2011 (2011-12-12) (Odeon Leicester Square)
December 21, 2011 (2011-12-21) (United States)
December 21, 2011 (2011-12-21) (Sweden)
December 26, 2011 (2011-12-26) (United Kingdom)
",$90 million,2011.0,90000000.0,2011-12-26
The Green Hornet,"
January 10, 2011 (2011-01-10) (Los Angeles)
January 14, 2011 (2011-01-14) (United States)
",$110-120 million,2011.0,120000000.0,2011-01-14
Immortals,"
November 11, 2011 (2011-11-11)
",$75 million,2011.0,75000000.0,2011-11-11
Green Lantern,"
June 15, 2011 (2011-06-15) (Grauman's Chinese Theatre)
June 17, 2011 (2011-06-17) (United States)
",$200 million,2011.0,200000000.0,2011-06-17
The Help,"
August 9, 2011 (2011-08-09) (Beverly Hills)
August 10, 2011 (2011-08-10) (United States)
",$25 million,2011.0,25000000.0,2011-08-10
Bad Teacher,"
June 24, 2011 (2011-06-24)
",$20 million,2011.0,20000000.0,2011-06-24
Just Go with It,"
February 8, 2011 (2011-02-08) (New York City)
February 11, 2011 (2011-02-11) (United States)
",$80 million,2011.0,80000000.0,2011-02-11
Battle Los Angeles,"
March 8, 2011 (2011-03-08) (Westwood)
March 11, 2011 (2011-03-11) (United States)
",$70 million,2011.0,70000000.0,2011-03-11
Horrible Bosses,"
November 12, 2014 (2014-11-12) (London)
November 26, 2014 (2014-11-26) (United States)
",$42–57 million,2014.0,57000000.0,2014-11-26
Paranormal Activity 3,"
October 14, 2011 (2011-10-14) (Rio de Janeiro Festival)
October 21, 2011 (2011-10-21) (United States)
",$5 million,2011.0,5000000.0,2011-10-21
Gnomeo & Juliet,,,2011.0,,
Mr. Popper's Penguins,"June 17, 2011 (2011-06-17)",$55 million,2011.0,55000000.0,2011-06-17
Hugo,"
October 10, 2011 (2011-10-10) (NYFF)
November 23, 2011 (2011-11-23) (United States)
",$150–170 million,2011.0,170000000.0,2011-11-23
Hop,"
March 27, 2011 (2011-03-27) (Universal Studios Hollywood)
April 1, 2011 (2011-04-01) (United States)
",$63 million,2011.0,63000000.0,2011-04-01
War Horse,"
4 December 2011 (2011-12-04) (Avery Fisher Hall)
25 December 2011 (2011-12-25) (United States)
",$66–70 million,2011.0,70000000.0,2011-12-25
The Descendants,"
September 10, 2011 (2011-09-10) (TIFF)
November 18, 2011 (2011-11-18) (United States[1])
",$20 million,2011.0,20000000.0,2011-11-18
Cowboys & Aliens,"
January 13, 1972 (1972-01-13)
",$6 million,2011.0,6000000.0,1972-01-13
In Time,"
October 20, 2011 (2011-10-20) (Westwood, Los Angeles)[2]
October 28, 2011 (2011-10-28) (United States)
",$40 million,2011.0,40000000.0,2011-10-28
Zookeeper,"
8 March 2017 (2017-03-08) (Warsaw)
31 March 2017 (2017-03-31) (United States)
21 April 2017 (2017-04-21) (United Kingdom)
",$20 million,2017.0,20000000.0,2017-04-21
The Muppets,"
November 4, 2011 (2011-11-04) (Savannah Film Festival)
November 23, 2011 (2011-11-23) (United States)
",$45 million,2011.0,45000000.0,2011-11-23
Limitless,"
March 8, 2011 (2011-03-08) (New York City)
March 18, 2011 (2011-03-18) (United States)
",$27 million,2011.0,27000000.0,2011-03-18
Johnny English Reborn,"
7 October 2011 (2011-10-07) (United Kingdom)
21 October 2011 (2011-10-21) (United States)
",$45 million,2011.0,45000000.0,2011-10-21
Happy Feet Two,"
November 13, 2011 (2011-11-13) (Grauman's Chinese Theatre)
November 18, 2011 (2011-11-18) (United States)
December 26, 2011 (2011-12-26) (Australia)
",$135 million,2011.0,135000000.0,2011-12-26
Final Destination 5,"
August 4, 2011 (2011-08-04) (Fantasia International Film Festival)
August 12, 2011 (2011-08-12) (United States)
",$40 million,2011.0,40000000.0,2011-08-12
Tower Heist,"
October 24, 2011 (2011-10-24) (The Ziegfeld Theatre[2] in New York City)
November 4, 2011 (2011-11-04) (United States)
",$75–85 million,2011.0,85000000.0,2011-11-04
Midnight in Paris,"
May 11, 2011 (2011-05-11) (Cannes)
May 13, 2011 (2011-05-13) (Spain)
May 20, 2011 (2011-05-20) (United States)
",$17 million,2011.0,17000000.0,2011-05-20
I Am Number Four,"
February 18, 2011 (2011-02-18)
",$50 million,2011.0,50000000.0,2011-02-18
Jack and Jill,"
November 11, 2011 (2011-11-11)
",$79 million,2011.0,79000000.0,2011-11-11
Friends with Benefits,"
July 18, 2011 (2011-07-18) (New York City)
July 22, 2011 (2011-07-22) (United States)
",$35 million,2011.0,35000000.0,2011-07-22
No Strings Attached,"
January 11, 2011 (2011-01-11) (Westwood, Los Angeles)
January 21, 2011 (2011-01-21) (United States)
",$25 million,2011.0,25000000.0,2011-01-21
Arthur Christmas,"
11 November 2011 (2011-11-11) (United Kingdom)
23 November 2011 (2011-11-23) (United States)
",$100 million,2011.0,100000000.0,2011-11-23
Source Code,"
March 11, 2011 (2011-03-11) (SXSW)
April 1, 2011 (2011-04-01) (United States)
April 20, 2011 (2011-04-20) (France)
",$31.9 million,2011.0,9000000.0,2011-04-20
"Crazy, Stupid, Love.","
July 19, 2011 (2011-07-19) (New York City)
July 29, 2011 (2011-07-29) (United States)
",$50 million,2011.0,50000000.0,2011-07-29
New Year's Eve,,,2011.0,,
Contagion,,,2011.0,,
