Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2010-12-17,How Do You Know,"$21,808,891","$30,212,620",116,Sony Pictures Entertainment (SPE),,,
2010-12-18,Avatar,"$466,141,929","$749,766,139",1,Twentieth Century Fox,,,
2010-12-18,Nine,"$9,832,212","$19,676,965",143,The Weinstein Company,,,
2010-12-18,Did You Hear About the Morgans?,"$9,200,041","$29,580,087",144,Sony Pictures Entertainment (SPE),,,
2010-12-18,The Young Victoria,"$9,031,882","$11,001,272",147,Apparition,,,
2010-12-22,Little Fockers,"$84,557,425","$148,438,600",37,Universal Pictures,,,
2010-12-22,True Grit,"$70,420,123","$171,243,005",46,Paramount Pictures,,,
2010-12-23,Alvin and the Chipmunks: The Squeakquel,"$98,887,330","$219,614,612",27,Twentieth Century Fox,,,
2010-12-23,3 Idiots,"$3,268,210","$6,532,874",179,Reliance Big Pictures,,,
2010-12-25,Sherlock Holmes,"$106,925,723","$209,028,679",23,Warner Bros.,,,
2010-12-25,It's Complicated,"$72,359,500","$112,735,375",45,Universal Pictures,,,
2010-12-25,Gulliver's Travels,"$21,121,717","$42,779,261",119,Twentieth Century Fox,,,
2010-12-25,The Imaginarium of Doctor Parnassus,"$7,028,622","$7,689,607",153,Sony Pictures Classics,,,
2010-12-30,The White Ribbon,"$2,222,862","$2,222,862",194,Sony Pictures Classics,,,
2011-01-07,Season of the Witch,"$24,827,228","$24,827,228",112,Relativity Media,,,
2011-01-14,The Green Hornet,"$98,780,042","$98,780,042",32,Sony Pictures Entertainment (SPE),,,
2011-01-14,The Dilemma,"$48,475,290","$48,475,290",69,Universal Pictures,,,
2011-01-14,Barney's Version,"$4,439,201","$4,439,201",172,Sony Pictures Classics,,,
2011-01-21,No Strings Attached,"$70,662,220","$70,662,220",48,Paramount Pictures,,,
2011-01-21,The Company Men,"$4,441,272","$4,441,272",171,The Weinstein Company,,,
2011-01-21,The Way Back,"$2,701,859","$2,701,859",190,Newmarket Films,,,
2011-01-28,The Rite,"$33,047,633","$33,047,633",102,Warner Bros.,,,
2011-01-28,The Mechanic,"$29,121,498","$29,121,498",106,CBS Films,,,
2011-01-28,Biutiful,"$5,101,237","$5,101,237",166,Roadside Attractions,,,
2011-01-28,From Prada to Nada,"$3,033,623","$3,033,623",184,Lionsgate,,,
2011-02-04,The Roommate,"$37,300,000","$37,300,000",87,Screen Gems,,,
2011-02-04,Sanctum,"$23,209,310","$23,209,310",116,Universal Pictures,,,
2011-02-11,Just Go with It,"$103,028,109","$103,028,109",27,Sony Pictures Entertainment (SPE),,,
2011-02-11,Gnomeo & Juliet,"$99,967,673","$99,967,670",31,Walt Disney Studios Motion Pictures,,,
2011-02-11,Justin Bieber: Never Say Never,"$73,013,910","$73,013,910",45,Paramount Pictures,,,
2011-02-11,The Eagle,"$19,490,041","$19,490,041",125,Focus Features,,,
2011-02-11,Cedar Rapids,"$6,861,102","$6,861,102",161,Fox Searchlight Pictures,,,
2011-02-13,Under the Sea 3D,"$3,602,854","$36,262,926",178,Warner Bros.,,,
2011-02-18,Unknown,"$63,686,397","$63,686,397",52,Warner Bros.,,,
2011-02-18,I Am Number Four,"$55,100,437","$55,100,437",59,Walt Disney Studios Motion Pictures,,,
2011-02-18,Big Mommas: Like Father,Like Son,"$37,915,414","$37,915,414",84,Twentieth Century Fox,,
2011-02-25,Hall Pass,"$45,060,734","$45,060,734",71,Warner Bros.,,,
2011-02-25,Drive Angry,"$10,721,033","$10,721,033",145,Summit Entertainment,,,
2011-02-25,Of Gods and Men,"$3,939,252","$3,951,596",177,Sony Pictures Classics,,,
2011-02-25,The Grace Card,"$2,430,735","$2,430,735",195,The Samuel Goldwyn Company,,,
2011-03-04,Rango,"$123,477,607","$123,477,607",20,Paramount Pictures,,,
2011-03-04,The Adjustment Bureau,"$62,495,645","$62,495,645",53,Universal Pictures,,,
2011-03-04,Beastly,"$27,865,571","$27,865,571",108,CBS Films,,,
2011-03-04,Take Me Home Tonight,"$6,928,068","$6,928,068",160,Relativity Media,,,
2011-03-11,Battle Los Angeles,"$83,552,429","$83,552,429",37,Sony Pictures Entertainment (SPE),,,
2011-03-11,Red Riding Hood,"$37,662,162","$37,662,162",85,Warner Bros.,,,
2011-03-11,Mars Needs Moms,"$21,392,758","$21,392,758",120,Walt Disney Studios Motion Pictures,,,
2011-03-11,Jane Eyre,"$11,242,660","$11,242,660",144,Focus Features,,,
2011-03-18,Limitless,"$79,249,455","$79,249,455",41,Relativity Media,,,
2011-03-18,The Lincoln Lawyer,"$58,009,200","$58,009,200",56,Lionsgate,,,
2011-03-18,Paul,"$37,412,945","$37,412,945",86,Universal Pictures,,,
2011-03-18,Win Win,"$10,179,275","$10,179,275",147,Fox Searchlight Pictures,,,
2011-03-19,Hubble,"$9,918,825","$52,522,904",150,Warner Bros.,,,
2011-03-25,Diary of a Wimpy Kid: Rodrick Rules,"$52,698,535","$52,698,535",65,Twentieth Century Fox,,,
2011-03-25,Sucker Punch,"$36,392,502","$36,392,502",95,Warner Bros.,,,
2011-04-01,Hop,"$108,085,305","$108,085,305",25,Universal Pictures,,,
2011-04-01,Source Code,"$54,712,227","$54,712,227",60,Summit Entertainment,,,
2011-04-01,Insidious,"$54,009,150","$54,009,150",63,FilmDistrict,,,
2011-04-01,The King's SpeechPG-13 Version,"$3,344,306","$3,344,306",181,The Weinstein Company,,,
2011-04-08,Soul Surfer,"$43,853,424","$43,853,424",73,TriStar Pictures,,,
2011-04-08,Hanna,"$40,259,119","$40,259,119",78,Focus Features,,,
2011-04-08,Arthur,"$33,035,397","$33,035,397",103,Warner Bros.,,,
2011-04-08,Your Highness,"$21,596,445","$21,596,445",119,Universal Pictures,,,
2011-04-08,Born to Be Wild,"$15,134,212","$25,978,556",133,Warner Bros.,,,
2011-04-15,Rio,"$143,619,709","$143,619,809",16,Twentieth Century Fox,,,
2011-04-15,Scream 4,"$38,180,928","$38,180,928",83,-,,,
2011-04-15,The Conspirator,"$11,538,204","$11,538,204",142,Roadside Attractions,,,
2011-04-15,Atlas Shrugged: Part I,"$4,627,375","$4,627,375",168,Rocky Mountain Pictures,,,
2011-04-19,Space Station 3D,"$2,175,891","$93,383,953",196,IMAX,,,
2011-04-22,Water for Elephants,"$58,709,717","$58,709,717",55,Twentieth Century Fox,,,
2011-04-22,Madea's Big Happy Family,"$53,345,287","$53,345,287",64,Lionsgate,,,
2011-04-22,African Cats,"$15,428,747","$15,428,747",132,Walt Disney Studios Motion Pictures,,,
2011-04-22,Incendies,"$2,071,334","$2,071,334",198,Sony Pictures Classics,,,
2011-04-29,Fast Five,"$209,837,675","$209,837,675",6,Universal Pictures,,,
2011-04-29,Hoodwinked 2: Hood vs. Evil,"$10,143,779","$10,143,779",148,The Weinstein Company,,,
2011-04-29,Prom,"$10,130,219","$10,130,219",149,Walt Disney Studios Motion Pictures,,,
2011-04-29,Cave of Forgotten Dreams,"$5,304,920","$5,304,920",164,IFC Films,,,
