,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
179,The Faces of My Gene,Yue Yunpeng,6.323,Wu Jing,19.876,Wu Xiubo,10.504,Jing Boran,8.24,Lin Chiling,8.389,179,26796279,-,-,26796279,100,,,,,,,,3.7,151,movie,Zu zong shi jiu dai,0,2018,95,"Adventure,Comedy,Drama"
180,Badhaai Ho,Anil Kapoor,3.792,Keerthi reddy,1.684,Shilpa Shetty Kundra,1.494,Amrish Puri,6.421,K. Viswanath,1.428,180,26125610,-,-,26125610,100,92.0,83.0,,AmitRavindernathSharma,"HemantBhandari,VineetJain",,3100000.0,8.0,33256,movie,Badhaai ho,0,2018,124,"Comedy,Drama"
181,Hichki,Rani Mukerji,3.625,Neeraj Kabi,1.4,Rohit Saraf,6.077,Sachin Pilgaonkar,3.437,Asif Basra,2.172,181,26055222,330279,1.3,25724943,98.7,50.0,82.0,,SiddharthP.Malhotra,ManeeshSharma,3-23-2018,736.6K,7.6,12126,movie,Hichki,0,2018,116,"Comedy,Drama"
182,White Boy Rick,Richie Merritt,4.705,Matthew McConaughey,20.491,Jennifer Jason Leigh,22.271,Bel Powley,17.254,RJ Cyler,5.258,182,25957482,24011188,92.5,1946294,7.5,57.0,51.0,R,YannDemange,"JohnLesher,JulieYorn,ScottFranklin,DarrenAronofsky",9-14-2018,24000000.0,6.5,36406,movie,White Boy Rick,0,2018,111,"Crime,Drama"
183,"Paul, Apostle of Christ",Jim Caviezel,17.268,James Faulkner,3.237,Olivier Martinez,7.944,Joanne Whalley,14.008,John Lynch,9.189,183,25915966,17560475,67.8,8355491,32.2,46.0,81.0,PG-13,AndrewHyatt,"TerenceBerden,DavidZelon",3-23-2018,17500000.0,6.6,8415,movie,"Paul, Apostle of Christ",0,2018,108,"Adventure,Biography,Drama"
184,Champions,Taylor Russell,17.641,Logan Miller,14.811,Indya Moore,8.164,Holland Roden,14.001,Thomas Cocquerel,7.12,184,25730347,-,-,25730347,100,,,,DavidWike,"BenFreedman,LisaMuskat",,,7.2,10034,movie,Campeones,0,2018,124,"Comedy,Drama,Family"
185,Keys To The Heart,Zaijian Jaranilla,0.6,Sharon Cuneta,1.402,,,,,,,185,25375866,75134,0.3,25300732,99.7,,80.0,,Sung-HyunChoi,"JuSeoung-Hwan,YoonJe-kyoon",,,7.4,1095,movie,Geugeotmani Nae Sesang,0,2018,120,"Comedy,Drama,Family"
186,Stan & Ollie,Steve Coogan,7.72,John C. Reilly,13.885,Shirley Henderson,13.91,Nina Arianda,8.119,Rufus Jones,5.796,186,24420923,5470235,22.4,18950688,77.6,92.0,83.0,PG,JonS.Baird,FayeWard,1-25-2019,5500000.0,7.2,36589,movie,Stan & Ollie,0,2018,98,"Biography,Comedy,Drama"
187,The Witch: Part 1 - The Subversion,Kim Da-mi,11.035,Cho Min-soo,3.945,Park Hee-soon,16.089,Choi Woo-shik,14.334,Go Min-si,16.181,187,24340302,-,-,24340302,100,,,,,,,,7.2,9724,movie,Manyeo,0,2018,125,"Action,Mystery"
188,The Accidental Detective 2: In Action,Kwon Sang-woo,10.749,Sung Dong-il,13.097,Lee Kwang-soo,11.598,Seo Young-hee,12.779,Nam Myung-ryeol,2.436,188,24243825,179045,0.7,24064780,99.3,,73.0,,LeeEonhui,JeongJonghun,6-22-2018,174.7K,6.5,704,movie,Tam jeong 2,0,2018,116,"Comedy,Crime,Thriller"
189,Killing for the Prosecution,Takuya Kimura,14.756,Kazunari Ninomiya,5.208,Yuriko Yoshitaka,11.51,Yutaka Matsushige,4.959,Takehiro Hira,9.536,189,23929620,-,-,23929620,100,,67.0,,MasatoHarada,,,,6.3,928,movie,Kensatsu gawa no zainin,0,2018,123,Mystery
190,Pokémon the Movie: The Power of Us,Rica Matsumoto,3.599,Ikue Otani,8.898,Megumi Hayashibara,7.296,Shin-ichiro Miki,11.136,Inuko Inuyama,5.466,190,23740788,789170,3.3,22951618,96.7,71.0,66.0,,TetsuoYajima,DinaHawana,,,6.2,2589,movie,Gekijouban Poketto monsutâ: Minna no Monogatari,0,2018,100,"Action,Adventure,Animation"
191,The Guernsey Literary and Potato Peel Pie Society,Lily James,22.898,Jessica Brown Findlay,17.161,Matthew Goode,18.722,Michiel Huisman,15.082,Katherine Parkinson,13.084,191,23148937,-,-,23148937,100,81.0,80.0,,MikeNewell,"GrahamBroadbent,PeterCzernin,MitchellKaplan,PaulaMazur",,,7.3,44530,movie,The Guernsey Literary and Potato Peel Pie Society,0,2018,124,"Drama,Romance,War"
