,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
91,Licorice Pizza,91,Alana Haim,7.879,Cooper Hoffman,6.135,Sean Penn,14.277,Tom Waits,8.254,Bradley Cooper,38.912,30530197,17005688,55.7,13524509,44.3,90.0,65.0,R,PaulThomasAnderson,"SaraMurphy,AdamSomner,PaulThomasAnderson",12-25-2021,17300000.0,7.4,70675,movie,Licorice Pizza,0,2021,133,"Comedy,Drama,Romance"
92,The Little Things,92,Denzel Washington,33.586,Rami Malek,20.994,Jared Leto,70.2,Chris Bauer,8.037,Michael Hyatt,9.761,29942746,15342746,51.2,14600000,48.8,44.0,67.0,R,JohnLeeHancock,"JohnLeeHancock,MarkJohnson",1-29-2021,14700000.0,6.3,92302,movie,The Little Things,0,2021,128,"Crime,Drama,Mystery"
93,Escape from Mogadishu,93,Kim Yoon-seok,7.465,Jo In-sung,4.84,Heo Joon-ho,7.57,Kim So-jin,3.35,Jeong Man-sik,2.997,29861163,346271,1.2,29514892,98.8,95.0,87.0,,RyooSeung-wan,KangHye-jung,8-6-2021,329.6K,7.1,3957,movie,Mogadisyu,0,2021,121,"Action,Drama,Thriller"
94,Master,94,Regina Hall,14.426,Zoe Renee,3.616,Amber Gray,1.3,Talia Ryder,8.304,Talia Balsam,11.013,28692230,-,-,28692230,100,74.0,40.0,R,MariamaDiallo,"JoshuaAstrachan,BradBecker-Parton,AndreaRoa",3-18-2022,,8.0,68845,movie,Master,0,2021,179,"Action,Thriller"
95,The Last Warrior: Root of Evil,95,Viktor Horinyak,9.859,Mila Syvatska,5.748,Ekaterina Vilkova,6.604,Elena Yakovleva,3.695,Konstantin Lavronenko,3.823,28357398,-,-,28357398,100,,,,,,,,6.0,926,movie,Posledniy bogatyr. Koren' Zla,0,2021,121,"Adventure,Comedy,Family"
96,The Last Warrior: A Messenger of Darkness,96,Viktor Horinyak,9.859,Mila Syvatska,5.748,Ekaterina Vilkova,6.604,Elena Yakovleva,3.695,Konstantin Lavronenko,3.823,27052365,-,-,27052365,100,,,,,,,,5.4,323,movie,Posledniy bogatyr: Poslannik tmy,0,2021,108,"Adventure,Fantasy"
97,American Underdog,97,Zachary Levi,21.383,Anna Paquin,12.407,Dennis Quaid,13.1,Jason Allen Wear,1.4,Aaron J. Brooks,0.6,26514814,26514814,100,-,-,75.0,98.0,PG,"AndrewErwin,JonErwin","JonErwin,AndrewErwin,DarylLefever,MarkCiardi,KevinDownes",12-25-2021,26500000.0,7.2,8781,movie,American Underdog,0,2021,112,"Biography,Drama,Sport"
98,Chaos Walking,98,Daisy Ridley,20.045,Tom Holland,128.32,Mads Mikkelsen,51.526,Demián Bichir,6.129,David Oyelowo,6.407,26508132,13287908,50.1,13220224,49.9,22.0,71.0,PG-13,DougLiman,"DougDavison,AllisonShearmur,ErwinStoff,AlisonWinter",3-5-2021,13300000.0,5.7,42705,movie,Chaos Walking,0,2021,109,"Action,Adventure,Fantasy"
99,Those Who Wish Me Dead,99,Angelina Jolie,13.484,Finn Little,15.489,Jon Bernthal,24.637,Nicholas Hoult,25.64,Aidan Gillen,12.977,23468586,7407200,31.6,16061386,68.4,62.0,86.0,R,TaylorSheridan,"StevenZaillian,GarrettBasch,AaronL.Gilbert,KevinTuren,TaylorSheridan",5-14-2021,7300000.0,6.0,56206,movie,Those Who Wish Me Dead,0,2021,100,"Action,Crime,Drama"
100,The Marksman,100,Liam Neeson,33.989,Katheryn Winnick,36.255,Teresa Ruiz,21.983,Juan Pablo Raba,11.645,Jacob Perez,0.737,23076711,15566093,67.5,7510618,32.5,39.0,83.0,PG-13,RobertLorenz,"TaiDuncan,MarkWilliams,WarrenGoz,EricGold,RobertLorenz",1-15-2021,15500000.0,5.6,30162,movie,The Marksman,0,2021,108,"Action,Adventure,Drama"
