movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Thugs of Hindostan,472138,tt5970844,Amitabh Bachchan,3.917,Aamir Khan,6.119,Katrina Kaif,5.27,Fatima Sana Shaikh,4.688,Mohammed Zeeshan Ayyub,1.646
Sink or Swim,123777,tt0100624,Jessica Meyerson,0.6,,,,,,,,
Show Dogs,425148,tt5691024,Will Arnett,16.336,Ludacris,17.428,Natasha Lyonne,14.745,Jordin Sparks,3.953,Gabriel Iglesias,12.75
Believer,4012,tt0247199,Ryan Gosling,12.098,Summer Phoenix,7.34,Theresa Russell,12.687,Billy Zane,23.055,Garret Dillahunt,11.648
The Spy Gone North,517991,tt8290698,Hwang Jung-min,8.721,Lee Sung-min,6.154,Cho Jin-woong,9.375,Ju Ji-hoon,9.937,Kim Hong-pa,6.527
On the Basis of Sex,339380,tt4669788,Felicity Jones,18.633,Armie Hammer,23.554,Justin Theroux,17.672,Sam Waterston,8.45,Kathy Bates,18.832
Taxi 5,434355,tt7238392,Franck Gastambide,9.153,Malik Bentalha,1.775,Bernard Farcy,3.313,Salvatore Esposito,9.909,Edouard Montoute,6.184
Fat Buddies,551777,tt8845432,Wen Zhang,4.852,Bao Bei Er,7.902,Clara Lee,10.63,Guo Jingfei,9.703,Yasuaki Kurata,11.001
Till The End Of The World,502086,tt7962598,Mark Chao,8.873,Yang Zishan,8.435,Anastasia Berestova,0.6,Jao Felipe,1.4,Sun Di,0.6
2.0,211706,tt2311278,Miguel Céspedes,2.029,Raymond Pozo,2.465,Dalisa Alegría,0.6,Elizabeth Ruíz,0.6,Olga Buccarelli,0.6
Nothing to Lose,11676,tt0119807,Martin Lawrence,26.374,Tim Robbins,15.623,John C. McGinley,10.441,Giancarlo Esposito,13.155,Kelly Preston,7.767
T-34,505954,tt8820590,Alexander Petrov,8.193,Victor Dobronravov,5.402,Irina Starshenbaum,11.696,Vinzenz Kiefer,8.908,Petr Skvortsov,2.898
Mia and the White Lion,498248,tt4844148,Daniah De Villiers,9.039,Mélanie Laurent,16.858,Langley Kirkwood,10.269,Ryan Mac Lennan,2.265,Lionel Newton,1.947
The Girl in the Spider's Web,446807,tt5177088,Claire Foy,18.97,Beau Gadsdon,4.399,Sverrir Gudnason,4.175,Lakeith Stanfield,6.236,Sylvia Hoeks,10.756
The Hate U Give,470044,tt5580266,Amandla Stenberg,8.136,Regina Hall,12.088,Russell Hornsby,8.178,K.J. Apa,14.291,Common,10.41
Nobody's Fool,514619,tt8097306,Tiffany Haddish,8.655,Tika Sumpter,7.342,Omari Hardwick,13.365,Whoopi Goldberg,8.711,Missi Pyle,10.805
Baaghi 2,496316,tt6843812,Tiger Shroff,5.243,Disha Patani,11.001,Manoj Bajpayee,1.688,Randeep Hooda,3.186,Darshan Kumaar,0.694
The Hurricane Heist,430040,tt5360952,Toby Kebbell,12.326,Maggie Grace,22.642,Ryan Kwanten,8.846,Ralph Ineson,13.916,Melissa Bolona,7.347
All About Me,258282,tt0104597,Katharine Hepburn,4.782,,,,,,,,
Bad Times at the El Royale,446021,tt6628394,Jeff Bridges,17.346,Cynthia Erivo,5.589,Dakota Johnson,13.949,Jon Hamm,16.214,Lewis Pullman,9.183
Hunter Killer,399402,tt1846589,Gerard Butler,18.085,Gary Oldman,27.283,Toby Stephens,11.116,Common,10.41,Linda Cardellini,17.794
Super Troopers 2,50022,tt0859635,Jay Chandrasekhar,4.295,Kevin Heffernan,6.392,Steve Lemme,2.859,Erik Stolhanske,1.4,Paul Soter,1.312
The Strangers: Prey at Night,371608,tt1285009,Bailee Madison,20.261,Lewis Pullman,9.183,Christina Hendricks,19.454,Martin Henderson,25.154,Emma Bellomy,2.131
Gintama 2: Rules are Made to be Broken,519176,tt7639528,Shun Oguri,11.892,Masaki Suda,9.285,Kanna Hashimoto,12.865,Masami Nagasawa,13.437,Masaki Okada,13.688
The Way of the Bug,536370,tt8793220,Xiao Shenyang,2.725,Pan Binlong,6.61,Vivian Sung,11.196,Chin Shih-Chieh,5.285,Liu Hua,2.173
Clergy,621318,tt0012856,Nigel De Brulier,0.84,Virginia Brown Faire,1.818,Boris Karloff,4.94,Percy Marmont,1.413,Thomas Holding,0.694
Ice,425,tt0268380,Ray Romano,9.767,John Leguizamo,11.213,Denis Leary,16.184,Goran Visnjic,13.067,Jack Black,23.771
Free Solo,515042,tt7775622,Alex Honnold,0.84,Tommy Caldwell,0.6,Jimmy Chin,1.604,Sanni McCandless,0.6,Mikey Schaefer,0.6
