movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Hostiles,384680,tt5478478,Christian Bale,26.638,Rosamund Pike,27.568,Wes Studi,8.385,Jesse Plemons,32.283,Adam Beach,14.358
Namiya,494734,tt7645502,Jackie Chan,26.273,Karry Wang,4.505,Dilraba Dilmurat,12.831,Hao Lei,2.76,Qin Hao,3.728
Destiny: The Tale of Kamakura,492136,tt6493648,Masato Sakai,9.143,Mitsuki Takahata,10.532,Shinichi Tsutsumi,4.393,Sakura Ando,5.677,Min Tanaka,3.984
The Liquidator,26199,tt0059390,Rod Taylor,5.335,Trevor Howard,7.62,Jill St. John,16.686,Wilfrid Hyde-White,4.629,Eric Sykes,2.52
Kidnap,293768,tt1458169,Halle Berry,21.448,Sage Correa,1.856,Chris McGinn,2.393,Lew Temple,7.469,Jason George,3.204
R.A.I.D. Special Unit,382597,tt5736696,Alice Pol,5.618,Dany Boon,8.612,Michel Blanc,9.224,Yvan Attal,7.539,Sabine Azéma,3.732
The House,926899,tt11703050,Mia Goth,35.412,Matthew Goode,18.407,Claudie Blakley,9.23,Eleanor De Swaef-Roels,0.648,Mark Heap,4.771
I Want to Eat Your Pancreas,504253,tt7236034,Mahiro Takasugi,8.712,Lynn,11.273,Jun Fukushima,8.326,Shin-ichiro Miki,11.136,Atsuko Tanaka,6.847
Perfect Strangers,78711,tt0087901,Anne Carlisle,0.6,Brad Rijn,0.6,John Woehrle,0.6,Matthew Stockley,0.6,Stephen Lack,1.674
Sleepless,324542,tt2072233,Jamie Foxx,20.417,Michelle Monaghan,23.375,Dermot Mulroney,22.46,Scoot McNairy,13.266,David Harbour,14.309
Hindi Medium,456570,tt5764096,Irrfan Khan,6.885,Saba Qamar,1.745,Sanjana Sanghi,1.03,Deepak Dobriyal,0.787,Mallika Dua,2.603
Steel Rain,435841,tt6769508,Jung Woo-sung,8.045,Kwak Do-won,6.113,Kim Gab-soo,3.686,Kim Eui-sung,9.223,Lee Kyung-young,10.791
The House That Never Dies II,474420,,Julian Cheung,2.115,Mei Ting,6.492,Gillian Chung,6.741,Geng Le,2.688,Vivian Wu,9.43
The Invisible Guest,411088,tt4857264,Mario Casas,14.422,Ana Wagener,6.449,Jose Coronado,4.408,Bárbara Lennie,5.246,Francesc Orella,3.307
This Is Not What I Expected,452413,tt6772874,Takeshi Kaneshiro,9.311,Zhou Dongyu,7.724,Ming Xi,1.565,Tony Yang,8.399,Sun Yizhou,2.6
The Last Warrior,598014,tt13769630,Viktor Horinyak,9.859,Mila Syvatska,5.748,Ekaterina Vilkova,6.604,Elena Yakovleva,3.695,Konstantin Lavronenko,3.823
Reset 2017 Re-release,,,,,,,,,,,,
The Bye Bye Man,292280,tt4030600,Carrie-Anne Moss,18.242,Michael Trucco,8.941,Douglas Smith,6.716,Lucien Laviscount,9.505,Cressida Bonas,0.6
